,580
323,1306
323,1307
323,1308
323,1309
323,1310
323,1311
323,1312
323,1313
323,1314
323,1315
323,1316
323,1317
323,1318
323,1319
323,1320
323,1321
324,1323
324,1324
324,1325
324,1326
324,1327
324,1328
324,1329
323,1330
323,1331
324,1332
323,1333
323,1334
324,1335
323,1336
323,1337
324,1338
324,1339
324,1340
324,1341
324,1342
324,1343
324,1344
324,1345
324,1346
324,1347
324,1348
324,1349
323,1350
323,1351
323,1352
323,1353
323,1354
323,1355
323,1356
323,1356
323,1357
323,1358
323,1359
323,1360
323,1361
324,1362
324,1363
324,1364
323,1366
323,1367
323,1368
323,1369
323,1370
323,1371
322,1372
322,1373
322,1374
322,1375
322,1376
322,1377
322,1378
322,1379
322,1380
322,1381
322,1382
322,1383
322,1384
322,1385
321,1386
321,1387
321,1388
321,1389
320,1390
321,1391
321,1392
320,1393
320,1394
321,1395
321,1396
321,1397
321,1398
321,1399
321,1400
321,1401
321,1402
321,1403
321,1404
321,1405
321,1406
321,1408
321,1409
321,1409
320,1410
320,1411
320,1412
320,1413
320,1414
320,1415
320,1416
320,1417
320,1418
321,1419
320,1420
321,1421
321,1422
321,1423
321,1424
321,1425
321,1426
321,1427
320,1428
320,1429
320,1430
320,1431
320,1432
320,1433
320,1434
320,1435
320,1436
320,1437
320,1438
320,1439
320,1440
321,1441
320,1442
320,1443
320,1444
320,1445
320,1446
320,1447
320,1448
320,1449
319,1451
319,1452
319,1453
319,1454
319,1455
319,1456
319,1457
319,1458
319,1459
320,1460
320,1461
320,1461
320,1462
320,1463
320,1464
320,1465
320,1466
320,1467
319,1468
319,1469
319,1470
319,1471
319,1472
319,1473
319,1474
319,1475
319,1476
319,1477
319,1478
319,1479
319,1480
319,1481
320,1482
319,1483
320,1484
319,1485
319,1486
320,1487
319,1488
319,1489
319,1490
319,1491
318,1492
319,1494
319,1495
318,1496
318,1497
318,1498
319,1499
319,1500
319,1501
319,1502
319,1503
319,1504
319,1505
319,1506
319,1507
319,1508
318,1509
318,1510
318,1511
318,1512
318,1513
318,1513
318,1514
318,1515
318,1516
318,1517
319,1518
319,1519
319,1520
319,1521
319,1522
319,1523
319,1524
319,1525
319,1526
319,1527
319,1528
319,1529
319,1530
319,1531
319,1532
318,1533
318,1534
318,1536
319,1537
319,1538
319,1539
319,1540
319,1541
319,1542
319,1543
319,1544
319,1545
319,1546
319,1547
319,1548
319,1549
319,1550
319,1551
319,1552
319,1553
319,1554
319,1555
319,1556
319,1557
319,1558
319,1559
319,1560
319,1561
319,1562
319,1563
319,1564
319,1564
319,1565
319,1566
319,1567
319,1568
319,1569
319,1570
318,1571
318,1572
318,1573
318,1574
319,1575
319,1576
319,1577
319,1579
319,1580
319,1581
319,1582
319,1583
319,1584
319,1585
319,1586
319,1587
319,1588
318,1589
319,1590
318,1591
318,1592
318,1593
318,1594
318,1595
318,1596
318,1597
318,1598
319,1599
319,1600
319,1601
319,1602
319,1603
319,1604
319,1605
319,1606
319,1607
319,1608
319,1609
319,1610
319,1611
319,1612
319,1613
319,1614
319,1615
319,1616
319,1616
319,1617
319,1618
319,1619
319,1620
319,1622
319,1623
320,1624
320,1625
319,1626
320,1627
319,1628
319,1629
319,1630
319,1631
319,1632
319,1633
319,1634
319,1635
319,1636
319,1637
319,1638
319,1639
319,1640
319,1641
319,1642
319,1643
319,1644
319,1645
319,1646
319,1647
319,1648
319,1649
319,1650
319,1651
318,1652
318,1653
318,1654
318,1655
318,1656
318,1657
318,1658
318,1659
318,1660
318,1661
318,1662
318,1664
318,1665
318,1666
318,1667
318,1668
318,1668
319,1669
318,1670
318,1671
319,1672
319,1673
319,1674
319,1675
319,1676
319,1677
319,1678
319,1679
319,1680
319,1681
319,1682
319,1683
319,1684
319,1685
319,1686
319,1687
319,1688
318,1689
318,1690
318,1691
318,1692
318,1693
318,1694
318,1695
318,1696
318,1697
318,1698
318,1699
318,1700
318,1701
318,1702
318,1703
318,1704
318,1705
318,1707
318,1708
318,1709
318,1710
318,1711
318,1712
318,1713
317,1714
317,1715
317,1716
317,1717
317,1718
318,1719
318,1720
318,1720
318,1721
318,1722
318,1723
318,1724
318,1725
318,1726
318,1727
318,1728
317,1729
317,1730
317,1731
317,1732
317,1733
317,1734
317,1735
318,1736
317,1737
317,1738
318,1739
318,1740
318,1741
318,1742
318,1743
318,1744
318,1745
318,1746
318,1747
318,1748
318,1750
318,1751
318,1752
317,1753
318,1754
317,1755
317,1756
318,1757
318,1758
317,1759
317,1760
317,1761
317,1762
317,1763
317,1764
317,1765
317,1766
317,1767
317,1768
317,1769
317,1770
316,1771
316,1771
317,1772
316,1773
316,1774
316,1775
316,1776
317,1777
317,1778
317,1779
317,1780
317,1781
317,1782
317,1783
317,1784
317,1785
316,1786
316,1787
316,1788
316,1789
316,1790
316,1792
316,1793
316,1794
316,1795
316,1796
316,1797
316,1798
316,1799
316,1800
316,1801
317,1802
317,1803
316,1804
317,1805
317,1806
316,1807
316,1808
316,1809
316,1810
316,1811
316,1812
316,1813
316,1814
316,1815
316,1816
316,1817
315,1818
316,1819
316,1820
316,1821
316,1822
316,1823
316,1823
316,1824
316,1825
316,1826
315,1827
315,1828
315,1829
315,1830
315,1831
315,1832
315,1833
315,1835
315,1836
314,1837
315,1838
314,1839
315,1840
315,1841
315,1842
315,1843
315,1844
315,1845
315,1846
315,1847
315,1848
315,1849
314,1850
314,1851
314,1852
314,1853
314,1854
314,1855
314,1856
314,1857
314,1858
314,1859
314,1860
314,1861
314,1862
314,1863
314,1864
314,1865
314,1866
314,1867
314,1868
314,1869
314,1870
314,1871
314,1872
314,1873
313,1874
314,1874
314,1875
314,1876
314,1878
314,1879
314,1880
314,1881
314,1882
314,1883
314,1884
313,1885
314,1886
313,1887
313,1888
313,1889
314,1890
313,1891
313,1892
313,1893
313,1894
313,1895
313,1896
313,1897
313,1898
314,1899
314,1900
314,1901
314,1902
314,1903
314,1904
314,1905
314,1906
314,1907
314,1908
314,1909
314,1910
314,1911
314,1912
314,1913
314,1914
313,1915
313,1916
313,1917
313,1918
313,1920
313,1921
313,1922
313,1923
313,1924
313,1925
313,1926
313,1927
313,1927
313,1928
313,1929
313,1930
313,1931
313,1932
313,1933
313,1934
313,1935
313,1936
313,1937
313,1938
313,1939
313,1940
313,1941
313,1942
313,1943
313,1944
313,1945
313,1946
313,1947
313,1948
313,1949
313,1950
312,1951
312,1952
312,1953
313,1954
313,1955
313,1956
313,1957
313,1958
313,1959
313,1960
313,1961
313,1963
313,1964
313,1965
313,1966
313,1967
313,1968
313,1969
313,1970
313,1971
313,1972
313,1973
313,1974
313,1975
313,1976
313,1977
313,1978
313,1978
313,1979
313,1980
313,1981
313,1982
313,1983
313,1984
313,1985
313,1986
313,1987
313,1988
313,1989
313,1990
313,1991
313,1992
313,1993
313,1994
313,1995
313,1996
313,1997
313,1998
313,1999
313,2000
313,2001
314,2002
314,2003
313,2004
313,2006
313,2007
313,2008
313,2009
313,2010
313,2011
313,2012
313,2013
313,2014
313,2015
313,2016
313,2017
313,2018
313,2019
313,2020
313,2021
313,2022
313,2023
313,2024
313,2025
313,2026
313,2027
313,2028
313,2029
313,2030
313,2030
313,2031
313,2032
313,2033
313,2034
313,2035
313,2036
313,2037
313,2038
313,2039
313,2040
313,2041
314,2042
